Каталоги, Выручка в ценовых сегментах"
узвар,от 999999999
холодные чаи,от 300 до 1200
энергетические напитки,от 600 до 1400
овощи,от 300 до 600
имбирь,от 300 до 600
подарочные наборы продуктов,от 600 до 1000
рыба,от 800 до 999999999
рыба вяленая,от 800 до 999999999
сладости,от 400 до 500
восточные сладости,от 300 до 500
джезерье,от 999999999
инжир,от 600 до 700
козинаки,от 300 до 400
нуга,от 300 до 400
пахлава,от 600 до 800
пишмание,от 300 до 400
рахат-лукум,от 300 до 500
сахарная вата,от 800 до 900
халва,от 400 до 500
чак-чак,от 400 до 500
чурчхела,от 400 до 700
щербет,от 300 до 400
жевательные резинки,от 300 до 500
желе,от 300 до 400
зефир, мармелад, пастила,от 400 до 500
зефир,от 400 до 500
мармелад,от 400 до 500
маршмеллоу,от 300 до 400
пастила,от 300 до 400
конфеты,от 300 до 400
конфеты 18+,от 200 до 300
крем-десерты,от 200 до 400
орехи,от 400 до 700
орехи в глазури,от 400 до 700
орехи в меду,от 400 до 600
орехи в сиропе,от 400 до 500
пасты,от 400 до 600
пасты кунжутные,от 400 до 500
пасты ореховые,от 400 до 600
пасты фруктовые,от 400 до 600
пасты шоколадные,от 500 до 600
пасты ягодные,от 300 до 999999999
печенье, вафли, пряники,от 400 до 500
вафельные стаканчики,от 300 до 400
вафли,от 300 до 400
марципан,от 400 до 600
печенье,от 400 до 500
пряники,от 400 до 500
хворост,от 300 до 400
пироги, сдоба, кексы, рулеты,от 800 до 1000
булочки,от 999999999
кексы,от 800 до 1000
круассаны,от 1200 до 999999999
пончики,от 200 до 400
пудинги,от 200 до 300
рулеты,от 300 до 999999999
сухари, сушки, крекеры,от 200 до 1200
баранки,от 300 до 700
крекеры,от 200 до 1200
торты, пирожные,от 200 до 300
меренги,от 200 до 600
пирожные,от 200 до 300
трубочки для молока,от 300 до 500
шоколад и шоколадные батончики,от 400 до 800
батончики шоколадные,от 600 до 800
шоколад плиточный,от 400 до 800
шоколад фигурный,от 600 до 800
шоколадные яйца,от 400 до 800
сладости и хлебобулочные изделия,от 100 до 200
торты,от 100 до 200
хлеб, булочки, лепешки,от 300 до 400
лаваш,от 999999999
лепешки,от 300 до 999999999
наборы для приготовления выпечки,от 300 до 400
снеки,от 400 до 600
батончики злаковые,от 200 до 600
васаберы,от 800 до 999999999
воздушный рис,от 300 до 600
горошек соленый,от 400 до 800
гренки,от 400 до 500
кальмар сушеный,от 1400 до 1500
кукурузные палочки,от 300 до 500
морепродукты сушеные,от 400 до 1300
мясо сушеное,от 1400 до 1600
попкорн,от 400 до 600
рыба сушеная,от 1000 до 1300
сухарики,от 300 до 500
